date,total,daily,rolling_day_avg,first_dose,second_dose,pfizer_biontech,moderna,astrazeneca,comment
29 Dec 2020,1,1,1,1,0,1,0,0,First vaccine: https://www.hse.ie/eng/services/news/media/pressrel/annie-lynch-is-the-first-person-to-receive-the-pfizer-biontech-covid19-vaccine-in-ireland.html
30 Dec 2020,5500,5499,2750,5500,0,5500,0,0,
31 Dec 2020,11000,5500,3667,11000,0,11000,0,0,
1 Jan 2021,16500,5500,4125,16500,0,16500,0,0,
2 Jan 2021,22000,5500,4400,22000,0,22000,0,0,
3 Jan 2021,27500,5500,3929,27500,0,27500,0,0,
4 Jan 2021,33000,5500,4714,33000,0,33000,0,0,
5 Jan 2021,38500,5500,5500,38500,0,38500,0,0,
6 Jan 2021,44000,5500,5500,44000,0,44000,0,0,
7 Jan 2021,49500,5500,5500,49500,0,49500,0,0,
8 Jan 2021,55000,5500,5500,55000,0,55000,0,0,
9 Jan 2021,60500,5500,5500,60500,0,60500,0,0,
10 Jan 2021,66000,5500,5500,66000,0,66000,0,0,
11 Jan 2021,71500,5500,5500,71500,0,71500,0,0,
12 Jan 2021,77000,5500,5500,77000,0,77000,0,0,
13 Jan 2021,82500,5500,5500,82500,0,82500,0,0,
14 Jan 2021,88000,5500,5500,88000,0,88000,0,0,
15 Jan 2021,93500,5500,5500,93500,0,93500,0,0,
16 Jan 2021,99000,5500,5500,99000,0,98918,82,0,Start of Moderna vaccine rollout https://www.irishtimes.com/news/health/coronavirus-ireland-administers-its-first-doses-of-moderna-vaccine-1.4460367
17 Jan 2021,104500,5500,5500,104500,0,104336,164,0,
18 Jan 2021,110000,5500,5500,110000,0,109754,246,0,
19 Jan 2021,115500,5500,5500,111061,4439,115172,328,0,
20 Jan 2021,121000,5500,5500,112122,8878,120590,410,0,
21 Jan 2021,126500,5500,5500,113183,13317,126008,492,0,
22 Jan 2021,132000,5500,5500,114244,17756,131426,574,0,
23 Jan 2021,137500,5500,5500,115305,22195,136844,656,0,
24 Jan 2021,143000,5500,5500,116366,26634,142262,738,0,"124,000 doses administered according to: https://www.gov.ie/en/press-release/56a7d-update-on-covid-19-vaccination-programme-monday-25-january/"
25 Jan 2021,150315,7315,5759,119242,31073,149495,820,0,
26 Jan 2021,157630,7315,6019,122118,35512,156728,902,0,
27 Jan 2021,164945,7315,6278,124994,39951,163961,984,0,
28 Jan 2021,172260,7315,6537,127870,44390,171194,1066,0,
29 Jan 2021,179575,7315,6796,130746,48829,178427,1148,0,
30 Jan 2021,186890,7315,7056,133622,53268,185660,1230,0,
31 Jan 2021,194205,7315,7315,136498,57707,192893,1312,0,
1 Feb 2021,201520,7315,7315,139374,62146,200126,1394,0,
2 Feb 2021,208835,7315,7315,142250,66585,207359,1476,0,
3 Feb 2021,216150,7315,7315,145126,71024,214592,1558,0,
4 Feb 2021,223465,7315,7315,148002,75463,221825,1640,0,
5 Feb 2021,230776,7311,7314,150874,79902,229054,1722,0,"From this day onwards, data as per https://covid-19.geohive.ie/pages/vaccinations"
6 Feb 2021,236996,6220,7158,152652,84344,235103,1893,0,
7 Feb 2021,240487,3491,6612,153654,86833,238594,1893,0,
08 Feb 2021,243353,2866,5976,154900,88453,241460,1893,0,
09 Feb 2021,248284,4931,5636,158904,89380,245915,1893,476,
10 Feb 2021,256681,8397,5790,166863,89818,250185,1893,4603,
11 Feb 2021,261073,4392,5373,171239,89834,251515,1914,7644,
12 Feb 2021,265237,4164,4923,175238,89999,253002,1914,10321,
13 Feb 2021,268551,3314,4508,176926,91625,253711,3391,11449,
14 Feb 2021,271942,3391,4494,180192,91750,254365,3392,14185,
15 Feb 2021,280581,8639,5318,182193,98388,261968,3415,15198,
16 Feb 2021,293752,13171,6495,187893,105859,271205,3907,18640,
17 Feb 2021,310900,17148,7746,197609,113291,282854,3963,24083,
18 Feb 2021,326475,15575,9343,205955,120520,294393,3963,28119,
19 Feb 2021,340704,14229,10781,214384,126320,304575,4777,31352,
20 Feb 2021,350322,9618,11682,219899,130423,311741,4947,33634,
21 Feb 2021,353971,3649,11718,222073,131898,314638,4998,34335,
22 Feb 2021,359616,5645,11291,226291,133325,318147,5239,36320,
23 Feb 2021,373280,13664,11361,238841,134439,325502,5782,41996,
24 Feb 2021,391355,18075,11494,254948,136407,335874,6476,49005,
25 Feb 2021,409529,18174,11865,271594,137935,346123,7084,56322,
26 Feb 2021,426070,16541,12195,285780,140290,356169,7740,62161,
27 Feb 2021,435895,9825,12225,294550,141345,362064,8422,65409,
28 Feb 2021,439782,3887,12259,297899,141883,363923,8630,67229,
01 Mar 2021,446474,6692,12408,303550,142924,367304,9368,69802,100K vaccines per week https://twitter.com/LeoVaradkar/status/1363616787514933250
02 Mar 2021,460637,14163,12480,316056,144581,376295,10665,73677,
03 Mar 2021,474645,14008,11899,328598,146047,386490,11589,76566,
04 Mar 2021,493873,19228,12049,346256,147617,397409,12863,83601,
05 Mar 2021,513322,19449,12465,363601,149721,408766,13958,90598,
06 Mar 2021,523069,9747,12453,373149,149920,413613,15123,94333,
07 Mar 2021,525768,2699,12284,375521,150247,414593,15174,96001,
08 Mar 2021,536617,10849,12878,382528,154089,420054,16221,100342,
09 Mar 2021,553161,16544,13218,396089,157072,430301,17713,105147,
10 Mar 2021,570391,17230,13678,409662,160729,442485,18554,109352,
11 Mar 2021,589512,19121,13663,426819,162693,452927,19078,117507,
12 Mar 2021,606904,17392,13369,443092,163812,463005,19389,124510,
